word;description
consider;считать
consist;состоять
consumer;потребитель
contain;включать
contaminated;Загрязненный
continent;материк
continued;непрерывный
conversant;сведущий
conversation;разговор. беседа
cool;прохладный
cord;шнур
corner;угол
correlate;согласовать
cost;стоимость
country;страна
couple;пара
cousin;двоюродный брат/сестра
covet;жаждать
coveted;желанный
crackpot;чокнутый
craning;вытягивать шею
crawl;ползти
creep;ползать
criticism;критика
crowds;толпа
cup;чашка
curious;любопытный
current;поток
curse;проклятие
curtailed;сокращеный
curtain;барьер. занавес
darling;любимый
daughter;дочь
dawn;проясняться. рассвет
day;день
deafening;оглушительный
decide;принимать решение
decision;решение
decrease;снижение
deficiency;дефицит
defining;определяющий
delicate;тонкий
delighted;восхищенный
demand;требовать
depict;описывать. описывать. Изображать
deprivation;лишение
desk;письменный стол
despite;несмотря
determines;определяет (определять судьбу/будущее)
diamonds;бубны (масть). бриллианты
dice;играть в кости
different;непохожий, другой, отличный. различный
digitize;переводить в цифровую форму
disappear;исчезать
disaster;катастрофа
discovered;исследовали
disease;болезнь
disempowering;вселяющий неуверенность
dish;блюдо
displays;отображать
distinction;разница
distract;отвлекать
division;деление
dog;собака
door;дверь
downside;недостаток
dozen;дюжина
drawer;выдвижной ящик
drip;капать
drop;падать. капля
dungeon;подземелье
duration;продолжительность
during;В течение
ear;ухо
efficient;эффективный
effort;усилия
embarrassed;смущённый
emissaries;мировой посредник
emphatic;выразительный
empowered;Уполномоченный
encourage;поощрять
energetic;энергичный
enough;достаточный
environmentally;экологически
equal;равный
equality;равенство
erm;хм
especially;особенно
essential;необходимый
establish;устанавливать
evaluate;оценить
evening;вечер
eventually;в конечном итоге
evident;очевидный
ex-husband;бывший муж
exactly;точно
execs;руководители
exhibition;выставка
expatriate;эмигрант
expect;ждать. предполагать
experience;испытывать. случай
explain;объяснять
explaine;объясните
explicitly;явно
exploration;исследование
express;выражать
expression;выражение
eye;глаз
face;лицо
fades;вянет
fairytales;небылицы. сказки
faithful;верный
FALSE;ложный
fame;популярность
family;семья
famous;знаменитый
far;далеко
farm;ферма
father;отец
feed;кормить
fences;заборы
fertility;плодовитость
fete;празднество
field;поле
filming;киносъемка
flaking;шелушиться. испорчен
flex;согнуть
flick;щелчок
Floorvac;floorvac
flowchart;схема-алгоритм. блок-схема
fluctuate;колебание
flush;покраснеть
foil;фольга
folk;народ
foolish;глупый
foot;ступня
forbidden;запрещённый
forcibly;принудительно
forerunner;предвестник
fork;вилка
fortunately;к счастью
fracture;перелом
freeways;автострада
fridge;холодильник (сокр. от refrigerator)
friend;друг
frustration;разочарование
fuss;суета
gain;получать
gap;промежуток
geometry;геометрия
germplasm;зародышевая плазма, геном, гермоплазма. геном
giant;гигантский
gibe;насмехаться
gig;концерт
girl;девочка
give in;уступать, сдаваться, соглашаться
giving;предоставление
glad;довольный
go;ходить. ходить
good;хороший
grade;класс
granddaughter;внучка
grandfather;дед
grandmother;бабушка
grandparent;Прародитель
grandson;внук
grin;усмешка. скалить зубы
grocery;продуктовый магазин
ground;земля
groundwork;основа
grow;расти
growth;рост
grueling;изнурительный
guess;догадываться
gutter;трущобы. канава
hair;волосы
half-brother;единокровный брат
half-sister;сводная сестра
hand;рука
handle;управлять
handy;полезный
happy;счастливый
hardly;едва
harnessing;использование (в опр. целях). приспосабливание (под что-л. / для чего-л.)
harvest;урожай
haunts;преследует
have a bite;перекусить
head;голова
headed;направились
headmaster;директор
heartache;душевная боль
hello;привет
Hence;следовательно
hold;держать
honest;честный
hot;жаркий
hour;час
house;дом
humbled;смирение
humidity;влажность
hunger;голод
husband;муж
hysterical;Истеричный
identical;одинаковый
imagine;представлять себе
immeasurable;неизмеримый
immersion;погружение
impact;воздействие
impatient;нетерпеливый
inauspicious;зловещий
increase;увеличивать
incredibly;невероятно
indentation;отступ
informal;неофициальный
injury;повреждение
insignificant;несущественный
inspire;вдохновлять
inspired;Вдохновленный
instantaneously;мгновенный
instantly;немедленно
instead;взамен
instruction;обучение
insult;оскорблять
interacting;взаимодействие
interesting;интересный
interrupt;прерывать
intimate;личный
introduce;знакомить. представлять
introduction;введение
invent;изобретать
invention;изобретение
invite;приглашать
involve;вовлекать
involved;участвующий
irresponsible;безответственный
irritation;недовольство
iterated;повторный, выполненный с помощью итераций
iterative;повторяющийся
job;работа
joy;радость
keep;держать
kettle;чайник
kick;удар
kitchen;кухня
knocked;постучал
lack;отсутствие
land;земля
landed;приземляться
laughter;смех
lay;класть
laziness;лень
lead;Вести
leave;покидать
leisurely;медленный
length;длина
less;меньше
lettuce;салат-латук
life;жизнь
likely;вероятно
literally;буквально
longing;стремление
lord;повелитель. Господь
lorry;грузовик
love;любовь
luminary;светило
lump;кусок
lying;лгущий
major;большой
man;мужчина
manias;мании
market;рынок
mayhem;неразбериха
meal;ПИЩА
measurable;измеримый
meet;встречаться
meteorologically;C точки зрения метеорологии
might;может
minamisanriku;minamisanriku
mindless;бессмысленный
miracle;чудо
miserable;несчастный
money;деньги
month;месяц
morning;утро
mother;мать
multicooker;мультиварка
multiplication;умножение
mummy;мамочка
mustache;усы
napkin;салфетка
nearly;почти
neat;опрятный
necessarily;обязательно
negate;отрицать
neighbors;соседи
nephew;племянник
niece;племянница
night;ночь
nitrogen;азот
nonsense;чепуха
notice;уведомление
noticed;заметил
notion;понятие
obtain;получить
obvious;очевидный
obviously;очевидно
occasionally;Время от времени. изредка
occurred;произошло
occurrence;вхождение
opportunity;возможность
opposite;противоположный
oppression;угнетение
orphan;сирота
ourselves;себя
out of habit;по привычке
outcome;последствие. исход
outrage;произвол
outside;снаружи
oven;духовка
overkill;крайность. перегиб
own;владеть
ownership;собственность
pan;сковорода
pandemonium;галдеж
panic;паника
pantomime;Язык жестов. пантомима
parentheses;скобки
parents;родители
part;часть
particle;частица
particularly;особенно
pass;передавать
pathetic;трогательный
patiently;терпеливый
pattern;модель. шаблон. образец
people;люди
perception;восприятие
person;человек
pewter;оловянный
phenome;феном-совокупность внешних признаков. явление
pick;выбирать
picked;подобранный
place;место
plaintive;жалобный
planting;посадка
plate;тарелка
plenty;Множество. изобилие
ponders;обдумывает
poor;бедный
position;положение
possessive;притяжательный
potassium;калий
potentially;потенциально
poverty;бедность
prayers;молитва
precedence;приоритет
Precisely;точно
predominates;преобладать
prepare;подготавливать
prescribe;предписывать
pretty;хорошенький
prevent;предотвратить
previous;предыдущий
prior;предварительный
privileged;привелегированый
probable;Возможный
promise;обещание
proper noun;имя собственное
property;имущество, собственность
proud;самодовольный. гордый
prune;Зануда. чернослив
pub;Пивная
pulling;принимает
purpose;цель
pushing;толкающий
pyrethrum;пиретрум (инсектицид)/ромашка кавказская
question;вопрос
quite;вполне. совсем. совершенно
quote;цитата
quotient;частное
rainy;дождливый
raise;повышение
rapture;восторг
rare;редкий
rather;скорее
realize;осознавать
reason;причина
reasoner;механизм рассуждений. мыслитель
reassign;переназначать
rebelion;мятеж
recipe;рецепт
recognised;признанный
recognize;узнавать
reconstitute;восстанавливать
recreate;воссоздать
refer;ссылаться
regret;сожаление
remind;напоминать
reminds;напоминает
replies;отвечать
represents;представляет
researchers;исследователи
respectively;соответственно
responsible;ответственный
rest;покоиться. Лежать. остаток. остальное. отдыхать
restriction;ограничение
retrieve;Возвращать
reveal;раскрыть
ribbon;лента
riddle;загадка
riding;кататься верхом
ripped;уничтожать
ripping;разрывание (tear)
rival;соперник
roaming;скитание
roll;катить
Roomba;робот-пылесос
rough;грубый
round;Повернуть. вокруг
routine;заведённый порядок
rovers;планетоход
rubbish;мусор
rude;грубый
rumor;молва. слух
running;Управление
runoff;поток
sacred;священный
salary;заработная плата
sand;песок
saturn;римск. миф. Сатурн
saucepan;кастрюля
scam;мошенничество
scenarios;сценарии
schedule;расписание
school;школа
score;оценка
seat;пост. должность. место
seed;семя. зерно
seedling;рассада
sense;чувство
separate;разделять
separated;разведенный
sesame;кунжут
severe;тяжёлый
shades;тени
shake;пожать руку. трясти
shame;стыд
shape;очертание
shareholder;акционер
shelf;полка
shift;перемещение
shivering;дрожащий
shy;застенчивый
sibling;родной брат и сестра
side hustle;подработка
sill;подоконник
silly;глупый
similar;Похожий
Similarly;аналогично. аналогично
sincere;искренний
sink;раковина
sister;сестра
slightly;слегка
sneer;Насмешка
snowy;снежный
Soaker;проливной дождь
socialite;светский человек
soil;почва
solder;паять
solving;решение
somehow;как-нибудь
son;сын
spades;пики (масть)
spend;тратить. проводить
spice;пряность
spirit;дух
spoil;испортить
sponsorship;спонсорство
spoon;ложка
spouse;супруг/а
spread;распространять
squander;тратить
staircase;лестница
stalwart;здоровый
statement;заявление
steamboat;пароход
stepdaughter;падчерица
stepfather;отчим
stepmother;мачеха
stepparent;приемный родитель
stepson;пасынок
stick;(at / to / with / by)  держаться, придерживаться
sticks;палки
stigma;клеймо
stool;стул, кал
stove;плита
strange;странный
street;улица
stretch;растягивать
student;студент
subscribe;подписываться
subsequent;последующий
subtraction;мат. вычитание
success;успех
such;такой
suitable;подходящий
sun;солнце
sunny;солнечный
supply;Доставлять
supposed;предполагаемый
surefire;безошибочный
suspect;подозревать
sustain;поддерживать
swear;клясться
swine;свинья
Swingline;кредитная линия сроком до 10 дней
switch;выключатель
swords;бубны (карт.)
table;стол
tableware;посуда
taboo;запретный
tap;кран
target;цель
taste;вкус. попробовать
teapot;заварочный чайник
tedious;утомительный
temperament;темперамент
their;их
theologically;с точки зрения богословия
therefore;поэтому
thin;тонкий
thing;вещь
thought;мысль
three;три
through;через
throw away;выкидывать
time;время
TimeWise;тем временем, что касается времени
tinker;на скорую руку
tiny;крошечный
tire;уставать
tired;усталый
toe;палец (ноги)
top;вершина
torture;мучить
tortured;мучили
toward;по направлению к
towel;полотенце
trash;мусор
treat;относиться, обращаться, обходиться
tree;дерево
tries;пытается
truly;Поистине
turning;поворот
twice;дважды
tyke;грубиян. малыш
ulcer;язва
uncle;дядя
underage;несовершеннолетний
undergraduate;студент университета или колледжа (обычно старшего курса)
unfortunately;к сожалению
unimaginable;невообразимый
universe;вселенная
unless;пока
unravelled;разгадана
useful;Полезный
vain;Напрасный
valuable;ценный
variable;переменная
varibale;переменная
vary;изменять
vehicle;транспортное средство
veils;вуаль
venture;предприятие
visions;мечта
wager;ставка
waiter;официант
wall;стена
wallpaper;обои
want;хотеть
warehouse;товарный склад
washing;смывающий
waste;потерять
water;вода
weak;слабый
wear;носить
weather;погода
wedding;свадьба
week;неделя
weeping;Плач
weird;странный, предзнамнование, судьба
welding;сварка
whether;либо. будь то
whispers;шептать
wider;более широкое
wife;жена
windy;ветреный
wineglass;бокал, фужер
wise;с точки зрения. мудрый
wish;желать
witness;увидеть своими глазами. а) свидетель, очевидец  б) свидетель (в суде)
woman;женщина
wonder;удивление. размышлять. интересоваться
wondered;сомневаться
word;слово
work;работа
worries;Заботы
wrist;запястье
year;год
gather;собираться, собирать
indicate;показывать, указывать
item;пункт, отдельный предмет
offer;предлагать, предложение
purchase;покупать, покупка
recommend;советовать, рекомендовать
select;
tool;
bother;
conclution;
doubt;
explore;
foreign;
bad;
terrible;
hurt;
require;
grass;
trouble;
tail;
necessary;
perhaps;
jerk;
anxiety;тревожность
excite;
awesome;
backwards;
divorce;
devaste;
disappoit;
hoax;обман, мистификация
coward;
frustrate;
delusion;
slope;
slippery;
humble;
habit;
outage;сбой, отключение электричества
rapist;
malicios;
consider;
span;
blame;
rought;
obviously;
sparse;
nonexistent;
exist;
verge;
limb;
unraves;
rave;
intact;
proclivity;
embarrass;
lawn;
drought;
inhabitant;житель, обитатель
bespectacled;очкарик
appearabce;
endear;
scruffiness;
though;хотя
throw;кидать
scathing;
haste;
innicent;
grin;
curious;
henceforth;
expel;
complience;
appear;
illicit;
revise;
intend;
tie;
shoelace;
promise;
suggest;
apologise;
advise;
insist;
agree;
cause;
satisfy;
complain;
spare;
improve;
stumble;
contrary;
rejoice;
joy;
exult;
chuckle;
guess;
carpet;
rug;
stepfather;
suddenly;
grin;
odd;
apart;
carry;
sharp;
mumble;
sip;
purse;
dare;
decide;
stiff;
nasty;
rodundancy;
property;
creep;
peer;
cilling;
horrible;
jolt;
linger;
anxious;
terrified;
terrify;
wig;
doom;
gasp;
roam;
flock;
yawne;
affect;
narrow;
belt;
pavement;
thirst;
vigorously;
peculiar;
strave;
stiffy;
prefer;
miffed;
irritable;
seize;
hinge;
obvious;
cough;
unbearable;
baerable;
gaunt;
arrangement;
awful;
above;
demand;
poor;
queer;
tide;
habitat;
revelatory;
seek;
overrun;
greed;
competing;
sinister;
summon;
preserve;
consciousness;
dazzling;
bewitching;
brew;
woe;
imblue;
inherent;
petal;
will;
jeopardy;
feast;
rescue;
scrawny;
bulding;
toe;
fungi;
aware;
averse;
borrow;
appropriate;
clash;
variety;
occurrence;
tin;
affirnative;
occasionally;
curse;
frown;
hugely;
investigating;
cradle;
shudder;
reflect;
cling;
wreacking;
wreack;
solely;
inclusion;
shelter;
ward;
recap;
nigotiate;
acute;
stick;
munition;
shovel;
recognize;
adopt;
occurrence;
vulnerability;
exposure;
forgery;
desperate;
exasperation;
jaw;
waiter;
instance;
vague;
above;
beyond;
arrogance;
hubris;
resurrect;
lesion;
tumor;
cough;
hump;
chalk;
weird;
intestine;
tie;
decaf;
gravy;
gorgeous;
wonder;
drift;
apart;
matters;
establish;
lizard;
suppose;
bunch;
accident;
unfortunately;
revelation;
perform;
spit;
hanger;
upbeat;
major;
know;base
what;base
just;base
okay;base
get;base
out;base
can;base
there;base
like;base
yeah;base
right;base
guy;base
well;base
god;base
think;base
one;base
say;base
gonna;base
come;base
something;base
really;base
see;base
hey;base
about;base
maybe;base
wait;base
everybody;base
date;base
back;base
wanna;base
mean;base
look;base
sorry;base
wine;base
cut;base
would;base
tell;base
some;base
going;base
him;base
down;base
feel;base
coffee;base
thank;base
only;base
shoe;base
real;base
gotta;base
two;base
never;base
very;base
today;base
let;base
stop;base
now;base
again;base
more;base
always;base
anyway;base
doing;base
daddy;base
need;base
probably;base
guys;base
ask;base
watch;base
welcome;base
take;base
make;base
believe;base
find;base
nothing;base
even;base
high;base
grabbed;base
thanks;base
married;base
remember;base
sure;base
four;base
before;base
looking;base
boat;base
much;base
kind;base
buy;base
push;base
stairs;base
hat;base
stay;base
try;base
things;base
anything;base
live;base
tonight;base
talk;base
being;base
be;base
long;base
off;base
ever;base
since;base
fifth;base
wow;base
anybody;base
sex;base
dream;base
phone;base
sudden;base
pulled;base
mouth;base
cookie;base
carol;base
stuff;base
aura;base
alone;base
fine;base
hell;base
lesbian;base
everyone;base
lot;base
single;base
started;base
listen;base
nice;base
best;base
please;base
honeymoon;base
getting;base
could;base
little;base
worm;base
cream;base
happened;base
world;base
hungry;base
years;base
difference;base
amazing;base
great;base
put;base
kids;base
jobs;base
wooden;base
sleep;base
kidding;base
credit;base
line;base
give;base
boots;base
new;base
first;base
killed;base
sometime;base
hearing;base
wrong;base
piece;base
eat;base
carl;base
relax;base
dinner;base
having;base
sounds;base
middle;base
totally;base
naked;base
starts;base
ring;base
turns;base
which;base
because;base
calls;base
says;base
hello;base
kill;base
myself;base
sweetie;base
someone;base
small;base
tied;base
around;base
neck;base
moved;base
hope;base
fixating;base
sometimes;base
loud;base
feeling;base
pain;base
angry;base
hurting;base
strip;base
joints;base
hormones;base
million;base
dollars;base
building;base
hammer;base
another;base
lincoln;base
survivor;base
waiting;base
wet;base
half;base
room;base
presents;base
sweet;base
low;base
realized;base
turned;base
freaked;base
hit;base
looks;base
potato;base
looked;base
familiar;base
wondering;base
invited;base
hoping;base
issue;base
guessing;base
pipe;base
organ;base
marry;base
wearing;base
pants;base
stopped;base
metaphor;base
established;base
staying;base
breathe;base
calm;base
raindrops;base
roses;base
kittens;base
string;base
better;base
helped;base
independence;base
taking;base
control;base
across;base
hall;base
away;base
hitting;base
rule;base
sound;base
minute;base
date;base
finally;base
asked;base
dear;base
diary;base
moment;base
cancel;base
name;base
sit;base
seconds;base
eyelashes;base
helping;base
excited;base
help;base
attach;base
side;base
using;base
whatsoever;base
cannot;base
legs;base
idea;base
do;base
bookcase;base
finished;base
favorite;base
beer;base
drink;base
stereo;base
idiot;base
dentist;base
five;base
times;base
clean;base
teeth;base
hers;base
leg;base
way;base
making;base
socks;base
machine;base
scary;base
case;base
talking;base
saying;base
flavor;base
ice;base
lots;base
flavors;base
rocky;base
road;base
cherry;base
vanilla;base
jimmies;base
nuts;base
whipped;base
grab;base
freezer;base
walked;base
spell;base
haven;base
sexually;base
smashed;base
still;base
charles;base
minister;base
loved;base
words;base
hero;base
together;base
congratulations;base
while;base
western;base
last;base
later;base
shut;base
input;base
numbers;base
actor;base
mostly;base
regional;base
production;base
abuse;base
once;base
feelings;base
else;base
luck;base
franny;base
snap;base
turtle;base
course;base
into;base
bed;base
sort;base
beacon;base
dogs;base
men;base
emotional;base
problems;base
hear;base
feet;base
trained;base
laughed;base
interviews;base
yet;base
too;base
sale;base
percent;base
boots;base
pay;base
card;base
pays;base
hard;base
mom;base
herself;base
stepdad;base
prison;base
ended;base
living;base
albino;base
cleaning;base
port;base
authority;base
himself;base
aromatherapy;base
anyway;base
ready;base
sucks;base
crash;base
couch;base
home;base
floor;base
split;base
crush;base
figured;base
older;base
become;base
any;base
factor;base
vegas;base
big;base
